sector,y,x,corr,hedge_ratio,coint_p_train,adf_p_train,half_life,coint_p_test,n_obs,coint_p_bonferroni_ok,rank_score
electrical_components_and_equipment,ETN,VRT,0.5706457346808745,0.4002233221887291,0.03840085763454252,0.009719735187809048,37.769047160732214,0.2856383819003218,878,False,168.0
financial_exchanges_and_data,FDS,SPGI,0.5748780099285566,0.2689230101081091,0.04053252119157248,0.010457087549697713,35.790749435524106,0.6339197282931479,878,False,176.0
asset_management_and_custody_banks,STT,BLK,0.6486746387545808,0.6985932730934321,0.046446426362503415,0.012303235245339217,27.864919389672302,0.9939036625568812,878,False,178.0
life_sciences_tools_and_services,TMO,DHR,0.826951018482452,0.6066911083780566,0.04396036650909177,0.011513752479274933,29.742113617702827,0.714550078270779,878,False,178.0
life_sciences_tools_and_services,TMO,A,0.7278262386286837,0.44187596627777437,0.043609744379765114,0.011402158711376812,30.16704711879837,0.6087880194868883,878,False,179.0
casinos_and_gaming,MGM,WYNN,0.7123477135137912,0.48047720876956246,0.047573697363598025,0.012677452885544307,28.931647741176565,0.937251892789986,878,False,182.0
interactive_media_and_services,GOOGL,META,0.5838991586510386,0.3712911222899414,0.0450100829874769,0.011857985382630769,30.716681290242498,0.9680742302346084,878,False,186.0
financial_exchanges_and_data,FDS,NDAQ,0.5253999009808983,0.28817278534543667,0.04461421696358228,0.011712216058396676,36.193845756233046,0.8559937060911635,878,False,193.0
construction_machinery_and_heavy_transportation_equipment,WAB,CMI,0.6243054728080861,1.4487028827706412,0.04812981884484885,0.012816947982617613,32.60328376998982,0.5105836176797454,878,False,196.0
multi-family_residential_reits,AVB,ESS,0.8932271587045912,0.760349792269034,0.04841533427393496,0.01295234546237712,31.879197018286188,0.7466756304436031,878,False,196.0
